# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 15K of event 'cpu-clock'
# Event count (approx.): 15082082067
#
# Overhead  Symbol                                                 IPC   [IPC Coverage]
# ........  .....................................................  ....................
#
    13.29%  [.] _PyEval_EvalFrameDefault                           -      -            
     9.96%  [.] PyObject_Hash                                      -      -            
     8.37%  [.] tuplehash.lto_priv.0                               -      -            
     3.25%  [.] lookdict_unicode_nodummy                           -      -            
     2.50%  [.] lookdict                                           -      -            
     2.12%  [.] long_hash.lto_priv.0                               -      -            
     1.83%  [.] validate_list                                      -      -            
     1.60%  [.] _PyMem_DebugCheckAddress                           -      -            
     1.49%  [.] call_function.lto_priv.0                           -      -            
     1.33%  [.] __memset_avx2_unaligned_erms                       -      -            
     1.14%  [.] read_size_t                                        -      -            
     1.06%  [.] _PyObject_Malloc                                   -      -            
     1.05%  [.] pthread_getspecific@@GLIBC_2.34                    -      -            
     1.04%  [.] frame_dealloc.lto_priv.0                           -      -            
     0.94%  [.] tuplerichcompare.lto_priv.0                        -      -            
     0.90%  [.] _PyEval_MakeFrameVector                            -      -            
     0.84%  [.] gen_send_ex2                                       -      -            
     0.83%  [.] _PyObject_VectorcallTstate.lto_priv.10             -      -            
     0.80%  [.] listiter_next.lto_priv.0                           -      -            
     0.76%  [.] _PyUnicode_CheckConsistency                        -      -            
     0.76%  [.] lookdict_unicode                                   -      -            
     0.76%  [.] arena_map_get                                      -      -            
     0.67%  [.] dict_subscript.lto_priv.0                          -      -            
     0.65%  [.] PyObject_RichCompare                               -      -            
     0.64%  [.] PyObject_RichCompareBool                           -      -            
     0.63%  [.] _PyObject_IsFreed                                  -      -            
     0.62%  [.] _PyType_Lookup                                     -      -            
     0.60%  [.] _Py_CheckFunctionResult                            -      -            
     0.58%  [.] PyTuple_GetItem                                    -      -            
     0.58%  [.] _PyMem_DebugRawAlloc                               -      -            
     0.57%  [.] tupledealloc.lto_priv.0                            -      -            
     0.56%  [.] binary_op1                                         -      -            
     0.56%  [.] PyGILState_Check                                   -      -            
     0.55%  [.] _PyUnicode_FromId                                  -      -            
     0.46%  [.] builtin_sum_impl                                   -      -            
     0.44%  [.] do_richcompare                                     -      -            
     0.41%  [.] write_size_t                                       -      -            
     0.40%  [.] _PyObject_GenericGetAttrWithDict                   -      -            
     0.39%  [.] _PyFrame_New_NoTrack                               -      -            
     0.38%  [.] tuple_alloc                                        -      -            
     0.38%  [.] _PyEval_Vector                                     -      -            
     0.38%  [.] get_small_int.lto_priv.0                           -      -            
     0.37%  [.] PyIter_Next                                        -      -            
     0.37%  [.] _PyLong_GCD                                        -      -            
     0.36%  [.] visit_reachable                                    -      -            
     0.35%  [.] _Py_Dealloc                                        -      -            
     0.34%  [.] _PyObject_Free                                     -      -            
     0.34%  [.] _PyObject_MakeTpCall                               -      -            
     0.33%  [.] PyDict_Contains                                    -      -            
     0.33%  [.] _PyFunction_Vectorcall                             -      -            
     0.33%  [.] insertdict                                         -      -            
     0.32%  [.] PyType_IsSubtype                                   -      -            
     0.32%  [k] 0xffffffff824e056d                                 -      -            
     0.31%  [.] _PyGILState_GetThisThreadState                     -      -            
     0.31%  [.] float_mul.lto_priv.0                               -      -            
     0.31%  [.] set_lookkey                                        -      -            
     0.30%  [.] _PyObject_GetMethod                                -      -            
     0.30%  [.] r_object                                           -      -            
     0.29%  [.] _Py_NewReference                                   -      -            
     0.28%  [.] PyObject_GetItem                                   -      -            
     0.28%  [.] PyThread_tss_get                                   -      -            
     0.28%  [.] _PyMem_DebugMalloc                                 -      -            
     0.27%  [.] find_name_in_mro.lto_priv.0                        -      -            
     0.26%  [.] PyDict_GetItemWithError                            -      -            
     0.25%  [.] PyFunction_NewWithQualName                         -      -            
     0.25%  [.] visit_decref                                       -      -            
     0.24%  [.] _Py_CheckSlotResult                                -      -            
     0.23%  [.] gen_iternext.lto_priv.0                            -      -            
     0.23%  [k] 0xffffffff824c428a                                 -      -            
     0.23%  [k] 0xffffffff82986987                                 -      -            
     0.23%  [.] PyType_GenericAlloc                                -      -            
     0.22%  [.] arena_map_is_used                                  -      -            
     0.22%  [.] frame_alloc                                        -      -            
     0.22%  [.] gen_dealloc.lto_priv.0                             -      -            
     0.21%  [.] PyObject_GetAttr                                   -      -            
     0.21%  [.] _PyMem_DebugRawFree                                -      -            
     0.21%  [.] is_tstate_valid.lto_priv.0                         -      -            
     0.21%  [.] _PyDict_LoadGlobal                                 -      -            
     0.21%  [.] _PyMem_DebugFree                                   -      -            
     0.20%  [.] _PyObject_GC_Alloc                                 -      -            
     0.20%  [.] dict_traverse.lto_priv.0                           -      -            
     0.20%  [.] min_max                                            -      -            
     0.19%  [.] PyUnicode_New                                      -      -            
     0.19%  [.] _PyTuple_FromArray                                 -      -            
     0.19%  [.] super_getattro.lto_priv.0                          -      -            
     0.19%  [.] _PyUnicode_FromUCS1.lto_priv.0                     -      -            
     0.19%  [.] __memmove_avx_unaligned_erms                       -      -            
     0.18%  [.] PyFloat_FromDouble                                 -      -            
     0.18%  [.] _PyDict_CheckConsistency                           -      -            
     0.18%  [.] cfunction_vectorcall_FASTCALL.lto_priv.0           -      -            
     0.18%  [.] vgetargs1_impl                                     -      -            
     0.17%  [.] PyObject_GC_UnTrack                                -      -            
     0.17%  [.] PyObject_GC_Del                                    -      -            
     0.17%  [.] lookdict_split.lto_priv.0                          -      -            
     0.17%  [.] subtype_dealloc.lto_priv.0                         -      -            
     0.16%  [.] siphash24                                          -      -            
     0.15%  [.] PyLong_FromLong                                    -      -            
     0.15%  [.] float_dealloc.lto_priv.0                           -      -            
     0.15%  [.] move_unreachable                                   -      -            
     0.15%  [.] _PyObject_GC_New                                   -      -            
     0.15%  [.] 0x00000000001c2e93                                 -      -            
     0.14%  [.] PyObject_SetAttr                                   -      -            
     0.14%  [.] convertsimple                                      -      -            
     0.14%  [.] dict_dealloc.lto_priv.0                            -      -            
     0.14%  [.] func_clear.lto_priv.0                              -      -            
