# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 621K of event 'cpu-clock'
# Event count (approx.): 621702702081
#
# Overhead  Symbol                                                 IPC   [IPC Coverage]
# ........  .....................................................  ....................
#
    20.75%  [.] PyObject_Hash                                      -      -            
    16.54%  [.] tuplehash.lto_priv.0                               -      -            
    12.07%  [.] _PyEval_EvalFrameDefault                           -      -            
     4.60%  [.] lookdict                                           -      -            
     4.17%  [.] long_hash.lto_priv.0                               -      -            
     1.93%  [.] tuplerichcompare.lto_priv.0                        -      -            
     1.81%  [.] gen_send_ex2                                       -      -            
     1.68%  [.] listiter_next.lto_priv.0                           -      -            
     1.50%  [.] lookdict_unicode_nodummy                           -      -            
     1.37%  [.] PyObject_RichCompareBool                           -      -            
     1.25%  [.] dict_subscript.lto_priv.0                          -      -            
     1.11%  [.] _PyMem_DebugCheckAddress                           -      -            
     1.06%  [.] call_function.lto_priv.0                           -      -            
     0.89%  [.] PyObject_RichCompare                               -      -            
     0.89%  [.] builtin_sum_impl                                   -      -            
     0.85%  [.] _PyObject_Malloc                                   -      -            
     0.82%  [.] PyIter_Next                                        -      -            
     0.79%  [.] do_richcompare                                     -      -            
     0.77%  [.] read_size_t                                        -      -            
     0.76%  [.] validate_list                                      -      -            
     0.71%  [.] pthread_getspecific@@GLIBC_2.34                    -      -            
     0.68%  [.] _PyEval_MakeFrameVector                            -      -            
     0.68%  [.] _PyObject_VectorcallTstate.lto_priv.10             -      -            
     0.64%  [.] frame_dealloc.lto_priv.0                           -      -            
     0.63%  [.] __memset_avx2_unaligned_erms                       -      -            
     0.57%  [.] binary_op1                                         -      -            
     0.54%  [.] gen_iternext.lto_priv.0                            -      -            
     0.53%  [.] _PyUnicode_FromId                                  -      -            
     0.50%  [.] PyDict_Contains                                    -      -            
     0.48%  [.] float_mul.lto_priv.0                               -      -            
     0.45%  [.] PyObject_GetItem                                   -      -            
     0.45%  [.] _Py_CheckFunctionResult                            -      -            
     0.44%  [.] arena_map_get                                      -      -            
     0.42%  [.] PyFloat_FromDouble                                 -      -            
     0.40%  [.] tupledealloc.lto_priv.0                            -      -            
     0.39%  [.] insertdict                                         -      -            
     0.39%  [.] PyTuple_GetItem                                    -      -            
